playlist_name;video_id;video_name;publication_date;views;likes;comments;duration
СТРАШНО РЕАЛЬНО;x0MRL95lL0Y;Реальная история КЛОУНА-УБИЙЦЫ;2019-09-06T19:21:54Z;6448980;573302;36518;1539
СТРАШНО РЕАЛЬНО;dFeimaTDX84;Человек, который УБИЛ ХЭЛЛОУИН [Страшно Реально];2021-10-31T19:34:55Z;3427117;487813;29851;2061
Антология обмана;ZZQ-T6N66Ik;АНТОЛОГИЯ ОБМАНА;2021-08-10T13:06:19Z;2951288;380802;20643;1405
Беды с Башкой;th7qQcirjZw;Как УПРАВЛЯТЬ ЖИЗНЬЮ других людей?;2020-06-19T12:20:03Z;3050360;328853;19414;1102
Беды с Башкой;zj90116gN3E;От нас ничего НЕ СКРОЕШЬ;2020-09-15T14:30:50Z;2869198;318334;14859;1000
Беды с Башкой;1iYBzkGLQDM;Ошибка Техасского Стрелка | Как узнать правду?;2019-10-04T14:32:00Z;2513483;321404;9754;695
Беды с Башкой;4xkmQET2zbo;Феномен Баадера-Майнхоф | Они преследуют меня!;2019-08-14T14:29:27Z;2884444;264984;38134;932
Беды с Башкой;e2xLfzdaE9A;Как работает НОСТАЛЬГИЯ?;2019-04-26T15:24:37Z;3399969;285548;18466;1111
Беды с Башкой;Q0cGB-2fXAo;Как я могу тебя ОБМАНУТЬ?;2018-12-20T20:41:29Z;3436642;270921;12370;999
Что?;L8U35en7TXE;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ;2019-11-09T13:17:15Z;4086314;380938;16740;815
Что?;dqYmPJGIW6E;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #2;2019-12-30T13:59:44Z;5040609;489040;21056;1240
Что?;KAv928riN-c;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #3;2020-04-13T12:35:50Z;4628997;406783;18128;940
Что?;F_G3mVidLqA;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #4;2020-08-27T12:44:23Z;4796938;442273;17535;1335
Что?;pad64v85qUw;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #5;2020-10-31T14:13:59Z;4190582;394526;21078;1369
Что?;k8FIVugHGSg;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #6;2020-12-31T08:55:54Z;3642180;366974;16297;1560
Что?;JDKqXmOX52Q;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #7;2021-03-08T11:48:54Z;3994605;317585;12448;1337
Что?;sskg_JguH28;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #8;2021-07-11T11:32:17Z;3903311;355207;8265;1203
Что?;Ywpd8M6wfHc;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #9;2021-10-05T13:43:17Z;3216944;389513;9714;1461
Что?;FAl7z9w0e5k;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #10;2021-12-30T13:46:04Z;2369238;331346;13763;1654
Парадокс Ферми;mPbItxStOQA;Неужели мы совсем ОДНИ?;2019-03-26T18:36:53Z;5691745;423916;23111;1696
Парадокс Ферми;nRlrf2jQAOc;Космос, ты нас слышишь?;2019-04-01T14:20:24Z;3997034;235568;11634;1592
Мифы;NNhE6qS6i9I;Мифы, в которые мы ВЕРИМ #1;2018-01-23T10:55:53Z;5726031;352658;15479;651
Мифы;ENtyeLY3vIU;Мифы, в которые мы верим #2;2018-06-05T20:26:36Z;5178518;309599;14165;1052
Мифы;lP8x_rQ9s0Y;Мифы, в которые мы верим #3 | Feat. Артур Шарифов;2018-10-01T15:06:39Z;5345738;295521;12648;1221
Мифы;8n_7T2v_wUE;Мифы #4 [Не дикий дикий запад];2018-11-21T09:00:36Z;4118233;250249;12181;1602
Мифы;35MyEO6Q_J0;Мифы, в которые мы верим #5;2019-04-09T16:42:08Z;4200888;413126;9707;785
Мифы;RfrxUIN-PC4;Мифы, в которые мы верим #6;2019-06-07T18:34:58Z;5340477;350179;18282;1141
